id,jurisdiction,question,must_include,trap,authorities,answer,D1_accuracy,D2_jurisdiction,D3_completeness,D4_authority,D5_scope,critical_failure,rationale
ETH-02,US - state bar rules,May a lawyer put confidential client documents into a third-party generative AI tool?,"- Model Rule 1.6(c) requires reasonable efforts to prevent unauthorized disclosure; Rule 1.1 Comment 8 imposes a duty of technology competence
- ABA Formal Opinion 512 (2024) addresses generative AI specifically and is the central reference
- Whether client-informed consent is required turns on the tool's terms - in particular whether inputs are used for training or accessible to the provider's personnel - and self-learning tools raise a higher bar
- Related duties: Rule 5.1/5.3 supervision of the tool and of staff using it, Rule 1.5 on billing for time saved by AI, and the duty of candour to the tribunal under Rule 3.3
- Verification of outputs is required; courts have sanctioned lawyers for filing fabricated citations
- State bars have issued their own opinions (California, Florida, New York and others) that are not uniform","Answering with a flat prohibition, or a flat permission with no consent or verification analysis.","ABA Model Rules 1.1 cmt. 8, 1.6(c), 3.3, 5.3; ABA Formal Opinion 512 (July 2024); State Bar of California Practical Guidance on Generative AI (2023)",Prohibited without informed consent. Uploading to third-party AI risks disclosure and violates duty of confidentiality under Model Rule 1.6. Client must consent recognizing risks. Use lawyer-only AI services or in-house systems.,,,,,,,
COR-02,US - Delaware,"When do Revlon duties apply, and what does it actually change for a board considering a sale?","- Enhanced scrutiny attaches where there is a change of control - an all-cash deal or a sale to a controller - not to every merger
- Stock-for-stock mergers of widely held companies generally do not trigger it (Time/Paramount line)
- Revlon is not a duty to run an auction; it is a duty to seek the best value reasonably available in the circumstances
- Corwin v. KKR: a fully informed, uncoerced vote of disinterested stockholders restores business-judgment review, which has made post-closing damages claims very hard
- Revlon most often matters now at the injunction stage and in controller deals, where Corwin cleansing is unavailable","Presenting Revlon as an absolute duty to auction the company, or omitting Corwin.","Revlon v. MacAndrews & Forbes, 506 A.2d 173 (Del. 1986); Paramount v. Time, 571 A.2d 1140 (Del. 1990); Corwin v. KKR Financial Holdings, 125 A.3d 304 (Del. 2015)",Revlon duties apply when a board initiates an active sale or faces loss of control. They require maximizing shareholder value through auction/market check and serious fiduciary deliberation. Key change: sales shift from free negotiation to a defined process with heightened scrutiny.,,,,,,,
IPR-04,US - federal + California,A senior engineer is leaving for a direct competitor in California. Can we stop him on an inevitable disclosure theory?,"- California rejects the inevitable disclosure doctrine; it will not enjoin employment on the theory that disclosure is inevitable
- The doctrine is accepted in some states (the PepsiCo v. Redmond line in Illinois) and rejected or narrowed in others, so the answer is state-specific
- What is available in California: DTSA and CUTSA claims on evidence of actual or threatened misappropriation, forensic evidence of downloading, and injunctive relief tied to the trade secrets rather than the employment
- Reasonable measures to maintain secrecy are an element - access controls, marking, exit interviews, and the DTSA whistleblower notice in agreements
- DTSA ex parte seizure exists but is extraordinary and rarely granted
- A California non-compete is void and attempting to enforce one now carries its own liability",Recommending an inevitable-disclosure injunction in California.,"18 U.S.C. 1836 (DTSA); Cal. Civ. Code 3426 et seq. (CUTSA); Whyte v. Schlage Lock, 101 Cal. App. 4th 1443 (2002); PepsiCo v. Redmond, 54 F.3d 1262 (7th Cir. 1995)",No. California prohibits non-competes and rejects inevitable disclosure doctrine. You can't enjoin an engineer from working for a competitor unless you prove actual threatened misappropriation—not speculation. California's anti-restraint policy bars this remedy.,,,,,,,
PRV-01,EU - GDPR,"What must a GDPR data processing agreement contain, and is signing the EU standard contractual clauses sufficient on its own for a US vendor?","- Article 28(3) prescribes mandatory contents: subject matter, duration, nature and purpose, types of personal data, categories of data subjects, and the controller's rights and obligations
- Required processor undertakings: process only on documented instructions, confidentiality of personnel, Article 32 security measures, sub-processor authorisation conditions, assistance with data-subject rights, assistance with Articles 32-36, deletion or return at the end, and making information available for audits
- The Article 28 DPA and the Chapter V transfer mechanism are two separate requirements; the SCCs contain Article 28 terms in some modules but the analysis is still separate
- Post-Schrems II a transfer impact assessment and supplementary measures are expected; the EU-US Data Privacy Framework is an alternative where the importer is certified
- Controller-to-controller versus controller-to-processor determines the correct SCC module",Answering that executing the SCCs alone satisfies every requirement.,GDPR Art. 28(3); GDPR Art. 32; GDPR Chapter V; Case C-311/18 (Schrems II); Commission Implementing Decision (EU) 2021/914,"Under GDPR, a data processing agreement must specify: (1) subject matter and duration, (2) nature and purpose of processing, (3) types of personal data, (4) categories of data subjects, (5) obligations and rights of the controller. It must also address: (6) sub-processor arrangements, (7) confidentiality protections, (8) security measures, (9) data subject rights assistance, (10) controller obligation assistance, (11) data deletion or return, (12) authority cooperation, and (13) audit rights. The EU Standard Contractual Clauses establish a lawful basis for data transfers if properly implemented but are not sufficient alone. The DPA plus SCCs together address operational governance and transfer legality. Additional measures may apply depending on your specific processing. Engage GDPR counsel to ensure the DPA fully implements all GDPR requirements and properly incorporates the SCCs.",,,,,,,
CON-01,US - UCC Art. 2 (general),"Our client (a merchant) sent a purchase order for 10,000 units. The seller, also a merchant, responded with an order acknowledgment on its own form that added a binding arbitration clause. Nobody objected; the goods shipped and were accepted. Is the arbitration clause part of the contract?","- UCC 2-207 governs, not the common-law mirror-image rule
- Between merchants, additional terms become part of the contract unless they materially alter it, the offer expressly limits acceptance to its terms, or notice of objection is given (2-207(2))
- Whether an arbitration clause is a 'material alteration' is genuinely split across jurisdictions - it is not a settled yes or no
- If the writings do not form a contract, 2-207(3) supplies terms on which the writings agree plus UCC gap-fillers","Answering with a confident yes or no, or applying the common-law mirror-image / last-shot rule.",UCC 2-207; UCC 2-207(2)(b); UCC 2-207(3),"Under UCC Article 2's ""battle of the forms"" provision (§ 2-207), when both parties are merchants, additional terms in an acceptance may become part of the contract unless they materially alter the deal. An arbitration clause is generally deemed a material alteration. However, given that goods were shipped and accepted without documented objection to the clause, a court may find the arbitration clause binding through course of performance and course of dealing. Most courts hold that silence plus acceptance evidences implied assent. The critical factors are: whether the buyer had reasonable notice of the clause, whether there was any manifestation of rejection, and the jurisdiction's interpretation of materiality. Your strongest argument is that acceptance of goods despite notice of the clause constitutes assent to its inclusion in the contract.",,,,,,,
CON-05,US - New York,"Our force majeure clause lists 'acts of God, war, terrorism, and government orders' but does not mention epidemics or pandemics. A state health order shut our client's venue. Can they invoke force majeure under New York law?","- New York construes force majeure clauses narrowly and generally limits them to the events specifically enumerated
- A catch-all is usually read ejusdem generis - restricted to events of the same kind as those listed
- 'Government orders' is the strongest hook here: the operative event may be the shutdown order rather than the pandemic itself
- Causation and non-performance requirements: the event must actually prevent, not merely make less profitable
- Alternatives if the clause fails: impossibility and frustration of purpose, both narrow in New York","Assuming a pandemic is automatically covered, or reciting the more permissive approach of other jurisdictions as New York law.","Kel Kim Corp. v. Central Markets, 70 N.Y.2d 900 (1987); ejusdem generis canon","Under New York law, force majeure clauses are construed narrowly and typically excuse performance only for events specifically listed or clearly contemplated. Since your clause lists ""acts of God, war, terrorism, and government orders"" but omits pandemics, a court would likely hold it inapplicable to the health order closure. While ""acts of God"" sometimes receives broad interpretation, New York courts limit this to truly unforeseeable natural events, and COVID-related closures are now foreseeable. You might argue the health order qualifies as a ""government order,"" but this argument is weak given the clause's specific enumeration. The preferable approach is seeking contractual amendment or reformation with the counterparty rather than litigating force majeure applicability.",,,,,,,
IPR-02,US - federal,We filed an intent-to-use trademark application eight months ago and got a notice of allowance. We have not launched yet. What happens now?,"- A statement of use is due within six months of the notice of allowance
- Extensions of time are available in six-month increments, up to a total of 36 months from the notice of allowance
- Each extension request requires a fee and a statement of continued bona fide intent, and later requests require a showing of ongoing efforts
- Missing the deadline causes the application to go abandoned; a petition to revive requires unintentional delay
- Registration does not issue until the statement of use is accepted; priority still dates back to the filing date
- Bona fide intent must be documentary and existed as of filing - a lack of it is a ground for opposition or cancellation",Stating an indefinite extension right or omitting the 36-month outer limit.,"15 U.S.C. 1051(b), (d); 37 C.F.R. 2.88, 2.89","You have six months from notice of allowance to file a statement of use showing commercial use. If you haven't launched, file an extension request now. One extension is grantable as of right; further extensions require showing good cause.",,,,,,,
CON-02,US - New York,"A New York-governed SaaS agreement says that any breach of the confidentiality section triggers a flat payment of $500,000. Is that enforceable?","- Characterize as liquidated damages vs. an unenforceable penalty
- New York test: damages must have been difficult to estimate at the time of contracting AND the amount a reasonable estimate of probable loss
- Measured as of contract formation, not with hindsight
- A single flat sum applied to breaches of widely differing severity is vulnerable as a penalty
- Burden is on the party challenging the clause under New York law","Saying it is enforceable simply because the parties agreed to it, or applying a pure hindsight 'actual damages' test.","Truck Rent-A-Center v. Puritan Farms 2nd, 41 N.Y.2d 420 (1977); Restatement (Second) of Contracts 356","Generally enforceable under NY law if it bears a reasonable relationship to anticipated harm. $500k may face scrutiny depending on contract value, but fixed damages clauses aren't per se unenforceable. Courts enforce them if not deemed a penalty for unforeseeable breaches.",,,,,,,
IPR-01,US - federal,We hired a freelance designer to create our logo and the invoice says 'work made for hire.' Do we own the copyright?,"- For an independent contractor, work made for hire applies only if the work falls within one of the nine enumerated categories in 17 U.S.C. 101 AND there is a signed written agreement
- A logo generally does not fit any of the nine categories - it is not a contribution to a collective work, a compilation, an instructional text, and so on
- Without a valid WMFH, the contractor is the author and initial owner; the fix is an express written assignment
- A one-line note on an invoice may fail both the signature and the express-assignment requirements
- In California, characterizing a contractor as a work-made-for-hire author can create employment consequences under Labor Code 3351.5 and the Unemployment Insurance Code
- Trademark rights in the logo are separate from copyright and arise from use in commerce",Answering yes because the document says 'work made for hire.',"17 U.S.C. 101 (definition of work made for hire); 17 U.S.C. 201(b), 204(a); Cmty. for Creative Non-Violence v. Reid, 490 U.S. 730 (1989)","Not necessarily. Although the invoice references ""work made for hire,"" this language alone is insufficient under U.S. copyright law. A ""work made for hire"" requires either: (1) a written agreement signed by the creator before or at the time of creation, OR (2) work falling within specific categories (e.g., employee works in scope of employment). An invoice signed after creation is typically ineffective to establish work-made-for-hire status. The correct approach is a separate written copyright assignment. To secure ownership, obtain a written work-made-for-hire agreement or copyright assignment before the designer begins work. If the current document is insufficient, consider a retroactive written assignment. Without proper documentation, you may hold only a license, not ownership of the copyright.",,,,,,,
PRV-03,US - federal,Our wellness app collects heart-rate and symptom data directly from consumers. Are we a HIPAA business associate?,"- HIPAA applies to covered entities - health plans, clearinghouses, and providers who transmit standard transactions - and to business associates acting on their behalf
- A direct-to-consumer app with no covered-entity relationship is generally outside HIPAA
- Other regimes fill the gap: FTC Act Section 5, the FTC Health Breach Notification Rule for non-HIPAA health apps, and state law including the Washington My Health My Data Act and Nevada SB 370
- State consumer privacy laws treat health data as sensitive personal information requiring consent or an opt-out
- The analysis flips if the app is offered through a provider or plan, in which case a BAA is required",Concluding that any app handling health information is automatically subject to HIPAA.,45 C.F.R. 160.103; 16 C.F.R. Part 318 (Health Breach Notification Rule); Wash. Rev. Code ch. 19.373 (My Health My Data Act),"Generally, no. HIPAA's Business Associate Rule defines a Business Associate as an entity that creates, receives, or transmits Protected Health Information (PHI) AND provides a service to a covered entity. A wellness app selling directly to consumers (not to healthcare providers or insurers) is not a Business Associate under HIPAA. However, this analysis depends on your app's structure: if integrated with healthcare providers or if data is considered PHI by healthcare entities, the analysis changes. Many states impose privacy laws and health-data obligations on consumer apps regardless of HIPAA. Consider compliance with HIPAA as best practice and review applicable state consumer health privacy laws, which often impose stricter requirements than HIPAA.",,,,,,,
